customer_tweet_id,customer_message,intent,predicted_intent,intent_confidence,escalation,predicted_escalation,best_similarity,draft_reply,retrieved_customer_message,retrieved_brand_reply,retrieved_similarity,reply_word_count,generic_reply,customer_reply_word_overlap,relevance,groundedness,helpfulness,tone,overall,human_notes
90767.0,"@sprintcare For about three days now, this location (North Fort Hood) sees huge amounts of traffic since it is the sole location for all deploying National Guard members for the entire country. Speeds get very slow during peak hours. And remain slow during low hours.",Network / Connectivity,Network / Connectivity,0.2348921054955575,Human,Human,0.2107733028015842,"@327879 We'd love to assist you with this, however, our Team from Order Support of Telesales is actually handling orders. Please give them a call at (866)-789-8292 Monday - Sunday: 8:00 AM - 8:00 PM or chat with them 24/7 here: https://t.co/O1mkYIdKu5 -S M",@sprintcare 😶😶😶😶😶😶 3 days ago,"@327879 We'd love to assist you with this, however, our Team from Order Support of Telesales is actually handling orders. Please give them a call at (866)-789-8292 Monday - Sunday: 8:00 AM - 8:00 PM or chat with them 24/7 here: https://t.co/O1mkYIdKu5 -S M",0.2107733028015842,44,False,0.036,,,,,,
1325693.0,@sprintcare After sitting on a loading screen for over 3 hours I gave up. Had to go into the store the next day to get it ordered. Ordering through Apple next release!,Website / App Issue,Website / App Issue,0.4935532190189667,Human,Auto,0.2176808753257042,@434346 Hi there! We do apologize for the inconvenient. We were experiencing some problems with our website but it has been resolved. -SV,"#iPhoneX arriving on Release day! Thank you @115858 for all 3 products on release day, but 🖕🏽 #Sprint for taking 3 hours to get it together",@434346 Hi there! We do apologize for the inconvenient. We were experiencing some problems with our website but it has been resolved. -SV,0.21768087532570427,23,False,0.0,,,,,,
214338.0,"@166910 @sprintcare @166911 I'm sorry 😑 lol 

Hey sprint, what's with the low unlimited, multiple lines plan?! 🗣WE NEED RESOLUTION AND LOWER RATES FOR BEING LOYAL😠",Order / Upgrade / iPhone,Billing / Payment,0.3073350150190987,Human,Human,0.226188817327356,@339981 Hello there! Is there anything we can assist you with today? Please let us know. We're always here eager to assist. - KP,@138028 Hey sprint! You're blocked ✌🏼,@339981 Hello there! Is there anything we can assist you with today? Please let us know. We're always here eager to assist. - KP,0.22618881732735607,24,True,0.067,,,,,,
541873.0,"@115714 @sprintcare Worst advice ever. They only made me more upset. Im only 47 years old. God willing Ill live another 20. I spend $3000+ a year with .@115714. Willing to lose $60,000 worth of my lifetime business over a $173 fee...great business model!!!!",Device / Technical Issue,General Complaint / Other,0.2974563901598869,Auto,Human,0.2325398714633102,@716813 That doesn't sound fun. What's making you feel this way about us? - AP,@sprintcare you are the  worst,@716813 That doesn't sound fun. What's making you feel this way about us? - AP,0.23253987146331026,15,False,0.0,,,,,,
752761.0,"@115714, your Austin City Limits bandwidth is 💩.
Full bars - no connection.
We send men to the moon - you can provide data service in ATX.",Network / Connectivity,Network / Connectivity,0.9259111594956716,Human,Auto,0.2396876280041953,"@526521 Hey there, how long has this been happening? Are you the only person experiencing this issue in your area or household? -AS","@sprintcare Hello Sprint. Are you experiencing any LTE issues in Pittsburgh, PA? I am in Moon Twp and have no data service.","@526521 Hey there, how long has this been happening? Are you the only person experiencing this issue in your area or household? -AS",0.2396876280041953,23,False,0.077,,,,,,
891795.0,My bill slowly went from $220/month to $330/month! @115714 I can’t wait to break up with y’all! Who has the best family plan with 3 teens out of @ATT  and @115911 #pleasehelp #imbeingrobbed,General Complaint / Other,Cancellation / Switching / Retention,0.7672127479276153,Human,Human,0.2548588782569612,"@795641 It depends on if you were planning to have us buyout your ATT account, or if you plan to Bring Your Own Device. out plans, and promotions are all on https://t.co/y5KU4cSsLx look at https://t.co/9ABiXqmY33 for detail. or let me know more about your situation. -CP","@115913 Who has the best family cell phone plan? My family has 4 Lines, and is considering a switch from @ATT! 

@115911 @115714 @115725","@795641 It depends on if you were planning to have us buyout your ATT account, or if you plan to Bring Your Own Device. out plans, and promotions are all on https://t.co/y5KU4cSsLx look at https://t.co/9ABiXqmY33 for detail. or let me know more about your situation. -CP",0.25485887825696124,46,False,0.071,,,,,,
2957223.0,"@115714 out here making me feel like i’m 15 years old needing a fuckin signed permission slip to get off a plan. all this work just to pay my own bill? lol SEE YAAAA, switching today and putting you on blast for this stupid process forever 😂🖕🏻don’t @ me lol https://t.co/2o0VyEsE6T",Billing / Payment,Billing / Payment,0.8129789178598265,Human,Human,0.2571007484855746,@175499 Hello! Need assistance with hotspot service? Pls provide us a brief description. -VS,We got hotspots lol https://t.co/QxcfcbUaIV,@175499 Hello! Need assistance with hotspot service? Pls provide us a brief description. -VS,0.2571007484855746,14,False,0.0,,,,,,
2642864.0,@sprintcare I also clicked the “contact us” and was waiting on a chat that wouldn’t load.,Network / Connectivity,Customer Service Issue,0.7491011904849132,Human,Auto,0.2573045411072399,"@461548 Perfect! If you need anything else, just let us know! :) -PB.",@sprintcare Dana just hopped on chat. Thanks!,"@461548 Perfect! If you need anything else, just let us know! :) -PB.",0.2573045411072399,13,False,0.0,,,,,,
492758.0,"Any lawyers wanna take on @115714, could be class action. Locking paid phones false collections, retaliation for changing carriers. DM ME!",Order / Upgrade / iPhone,Billing / Payment,0.3544288328565855,Auto,Human,0.2608995337816721,"@354253 Hi, we definitely want to work with you on this. Follow us @sprintcare and please send us a DM in order to further assist you. -Y.F.",@115714 unlimited data doesn’t mean you can slow my shit down. @ATT lost a big class action because of that a few years back.,"@354253 Hi, we definitely want to work with you on this. Follow us @sprintcare and please send us a DM in order to further assist you. -Y.F.",0.26089953378167213,27,True,0.0,,,,,,
489811.0,"@sprintcare Switched over to Sprint last month, and to my surprise I am already being double charged for a device activation and still not seeing my AutoPay and 50% off Galaxy S8 Flex lease discounts... Great.",Website / App Issue,Billing / Payment,0.5843691218720145,Human,Human,0.2613016854193764,@550562 @550562 - Are you using a third party messaging application to receive message -LG,@sprintcare Galaxy S8.,@550562 @550562 - Are you using a third party messaging application to receive message -LG,0.26130168541937643,15,False,0.0,,,,,,
1923697.0,"@115911 Thank you! Here I come!

.@115714 .@sprintcare FINAL STRAW GUYS, 20 YEAR CUSTOMER!",General Complaint / Other,General Complaint / Other,0.3498377972003457,Human,Human,0.4068404372348636,"@429657 I'm sorry for the trouble, let's get this fixed for you. Are you still having issues preordering the device? -SA",COME ON @115714,"@429657 I'm sorry for the trouble, let's get this fixed for you. Are you still having issues preordering the device? -SA",0.40684043723486363,21,False,0.0,,,,,,
2587689.0,@115714 New customers and Actual customers 🙄hello https://t.co/u3hSBlxCN2,Billing / Payment,General Complaint / Other,0.6853378684513487,Human,Auto,0.4075581015383663,"@803489 Hi there. To verify if you are eligible for an upgrade and a new device, please visit https://t.co/KDKMy1BbDn and login with your username. Here you will also find all the offers available for said new devices. - JF",@115714 can I have a new phone ?,"@803489 Hi there. To verify if you are eligible for an upgrade and a new device, please visit https://t.co/KDKMy1BbDn and login with your username. Here you will also find all the offers available for said new devices. - JF",0.4075581015383663,39,False,0.2,,,,,,
46023.0,More rockets fast speeds from 2013 for @115714 When r u going to get a ‘17 network @52911 #sprintsucks https://t.co/Q0L3z4kN6P,Network / Connectivity,Network / Connectivity,0.5204599338900672,Human,Auto,0.4087586942542419,"@648218 Hi Tiffany, I am about to call you. -Resolution SupervisorDR",@115714 THIS is LTE? #sprintsucks https://t.co/NIqjwmp6Ig,"@648218 Hi Tiffany, I am about to call you. -Resolution SupervisorDR",0.40875869425424194,11,False,0.0,,,,,,
1989558.0,@119332 @115990 Don't go to #Sprint. They really suck. 😫😩😠😡😖😣☹️🙁😕,General Complaint / Other,General Complaint / Other,0.3516349957502563,Human,Human,0.4096050720123882,"@494820 Hey there, what seems to be the issue? -AS",#sprint really pisses me off.,"@494820 Hey there, what seems to be the issue? -AS",0.40960507201238827,10,False,0.0,,,,,,
1358353.0,@115714 iPhoneX in the cart multiple times and website continues to crash me out. Ugh. #iPhoneX,Website / App Issue,Website / App Issue,0.8359511903525724,Human,Auto,0.4114167020669626,@433834 Hello there! Were you able to checkout? -JR,@sprintcare  how can i checkout ? i have the Iphonex in my cart,@433834 Hello there! Were you able to checkout? -JR,0.4114167020669626,9,False,0.0,,,,,,
